codigo,nombre,tipo,naturaleza,nivel,codigo_padre,requiere_tercero,activa
155655,PLANTAS DE TRATAMIENTO,ACT,debit,4,1556,No,Si
15565501,Plantas De Tratamiento,ACT,debit,5,155655,Si,Si
155660,REDES DE RECOLECCION DE AGUAS NEGRAS,ACT,debit,4,1556,No,Si
15566001,Redes De Recoleccion De Aguas Negras,ACT,debit,5,155660,Si,Si
155665,INSTALACIONES Y EQUIPO DE BOMBEO,ACT,debit,4,1556,No,Si
15566501,Instalaciones Y Equipo De Bombeo,ACT,debit,5,155665,Si,Si
155670,REDES DE DISTRIBUCION DE VAPOR,ACT,debit,4,1556,No,Si
15567001,Redes De Distribucion De Vapor,ACT,debit,5,155670,Si,Si
155675,REDES DE AIRE,ACT,debit,4,1556,No,Si
15567501,Redes De Aire,ACT,debit,5,155675,Si,Si
155680,REDES ALIMENTACION DE GAS,ACT,debit,4,1556,No,Si
15568001,Redes Alimentacion De Gas,ACT,debit,5,155680,Si,Si
155682,REDES EXTERNAS DE TELEFONIA,ACT,debit,4,1556,No,Si
15568201,Redes Externas De Telefonia,ACT,debit,5,155682,Si,Si
155685,PLANTAS DESHIDRATADORAS,ACT,debit,4,1556,No,Si
15568501,Plantas Deshidratadoras,ACT,debit,5,155685,Si,Si
155695,OTROS,ACT,debit,4,1556,No,Si
15569501,Otros,ACT,debit,5,155695,Si,Si
1560,ARMAMENTO DE VIGILANCIA,ACT,debit,3,15,No,Si
1562,ENVASES Y EMPAQUES,ACT,debit,3,15,No,Si
1564,PLANTACIONES AGRICOLAS Y FORESTALES,ACT,debit,3,15,No,Si
156405,CULTIVOS EN DESARROLLO,ACT,debit,4,1564,No,Si
15640501,Cultivos En Desarrollo,ACT,debit,5,156405,Si,Si
156410,CULTIVOS AMORTIZABLES,ACT,debit,4,1564,No,Si
15641001,Cultivos Amortizables,ACT,debit,5,156410,Si,Si
1568,VIAS DE COMUNICACION,ACT,debit,3,15,No,Si
156805,PAVIMENTACION Y PATIOS,ACT,debit,4,1568,No,Si
15680501,Pavimentacion Y Patios,ACT,debit,5,156805,Si,Si
156810,VIAS,ACT,debit,4,1568,No,Si
15681001,Vias,ACT,debit,5,156810,Si,Si
